owl,year,month,day,neuron,order,itdild_file_name,abl_file_name,freq_file_name,itd_file_name,ild_file_name,frozenitd_file_name,frozenild_file_name
6,2015,2,11,2,,,,006-2015-02-11-02-bf.mat,006-2015-02-11-02-itd.mat,006-2015-02-11-02-ild.mat,006-2015-02-11-02-FrozenITD.mat,006-2015-02-11-02-FrozenILD.mat
6,2015,2,19,1,,,,006-2015-02-19-01-bf.mat,006-2015-02-19-01-itd.mat,006-2015-02-19-01-ild.mat,006-2015-02-19-01-FrozenITD.mat,006-2015-02-19-01-FrozenILD.mat
6,2015,2,19,2,,,,006-2015-02-19-02-bf.mat,006-2015-02-19-02-itd.mat,006-2015-02-19-02-ild.mat,006-2015-02-19-02-FrozenITD.mat,006-2015-02-19-02-FrozenILD.mat
6,2015,2,19,3,,,,006-2015-02-19-03-bf.mat,006-2015-02-19-03-itd.mat,006-2015-02-19-03-ild.mat,006-2015-02-19-03-FrozenITD.mat,006-2015-02-19-03-FrozenILD.mat
6,2015,3,2,1,,,,006-2015-03-02-01-bf.mat,006-2015-03-02-01-itd.mat,006-2015-03-02-01-ild.mat,006-2015-03-02-01-FrozenITD.mat,006-2015-03-02-01-FrozenILD.mat
6,2015,3,2,2,,,,006-2015-03-02-02-bf.mat,006-2015-03-02-02-itd.mat,006-2015-03-02-02-ild.mat,006-2015-03-02-02-FrozenITD.mat,006-2015-03-02-02-FrozenILD.mat
6,2015,3,2,3,,,,006-2015-03-02-03-bf.mat,006-2015-03-02-03-itd.mat,006-2015-03-02-03-ild.mat,006-2015-03-02-03-FrozenITD.mat,006-2015-03-02-03-FrozenILD.mat
21,2014,12,23,1,,,,021-2014-12-23-01-bf.mat,021-2014-12-23-01-itd.mat,,,
21,2014,12,23,2,,,,021-2014-12-23-02-bf.mat,021-2014-12-23-02-itd.mat,,,
21,2015,1,14,1,,,,021-2015-01-14-01-bf.mat,021-2015-01-14-01-itd.mat,021-2015-01-14-01-ild.mat,021-2015-01-14-01-FrozenITD.mat,021-2015-01-14-01-FrozenILD.mat
0,0,0,0,0,,,,,,,021-2015-01-14-01-FrozenITD2.mat,021-2015-01-14-01-FrozenILD2.mat
21,2015,1,14,2,,,,021-2015-01-14-02-bf.mat,021-2015-01-14-02-itd.mat,021-2015-01-14-02-ild.mat,021-2015-01-14-02-FrozenITD.mat,021-2015-01-14-02-FrozenILD.mat
0,0,0,0,0,,,,,,,021-2015-01-14-02-FrozenITD2.mat,021-2015-01-14-02-FrozenILD2.mat
21,2015,1,14,3,,,,021-2015-01-14-03-bf.mat,021-2015-01-14-03-itd.mat,021-2015-01-14-03-ild.mat,,
21,2015,2,9,1,,,,021-2015-02-09-01-bf.mat,021-2015-02-09-01-itd.mat,021-2015-02-09-01-ild.mat,021-2015-02-09-01-FrozenITD.mat,021-2015-02-09-01-FrozenILD.mat
21,2015,2,9,2,,,,021-2015-02-09-02-bf.mat,021-2015-02-09-02-itd.mat,021-2015-02-09-02-ild.mat,021-2015-02-09-02-FrozenITD.mat,021-2015-02-09-02-FrozenILD.mat
21,2015,2,9,3,,,,021-2015-02-09-03-bf.mat,021-2015-02-09-03-itd.mat,021-2015-02-09-03-ild.mat,021-2015-02-09-03-FrozenITD.mat,021-2015-02-09-03-FrozenILD.mat
21,2015,2,17,1,,,,,021-2015-02-17-01-itd.mat,021-2015-02-17-01-ild.mat,021-2015-02-17-01-FrozenITD.mat,021-2015-02-17-01-FrozenILD.mat
21,2015,2,17,2,,,,021-2015-02-17-02-bf.mat,021-2015-02-17-02-itd.mat,021-2015-02-17-02-ild.mat,021-2015-02-17-02-FrozenITD.mat,021-2015-02-17-02-FrozenILD.mat
21,2015,2,17,3,,,,021-2015-02-17-03-bf.mat,021-2015-02-17-03-itd.mat,021-2015-02-17-03-ild.mat,021-2015-02-17-03-FrozenITD.mat,021-2015-02-17-03-FrozenILD.mat
21,2015,2,17,4,,,,021-2015-02-17-04-bf.mat,021-2015-02-17-04-itd.mat,021-2015-02-17-04-ild.mat,021-2015-02-17-04-FrozenITD.mat,021-2015-02-17-04-FrozenILD.mat
21,2015,2,26,1,,,,021-2015-02-26-01-bf.mat,021-2015-02-26-01-itd.mat,021-2015-02-26-01-ild.mat,021-2015-02-26-01-FrozenITD.mat,021-2015-02-26-01-FrozenILD.mat
21,2015,2,26,2,,,,021-2015-02-26-02-bf.mat,021-2015-02-26-02-itd.mat,021-2015-02-26-02-ild.mat,021-2015-02-26-02-FrozenITD.mat,021-2015-02-26-02-FrozenILD.mat
21,2015,2,26,3,,,,021-2015-02-26-03-bf.mat,021-2015-02-26-03-itd.mat,021-2015-02-26-03-ild.mat,,021-2015-02-26-03-FrozenILD.mat
23,2015,2,13,1,,,,023-2015-02-13-01-bf.mat,023-2015-02-13-01-itd.mat,023-2015-02-13-01-ild.mat,023-2015-02-13-01-FrozenITD.mat,023-2015-02-13-01-FrozenILD.mat
23,2015,2,13,2,,,,023-2015-02-13-02-bf.mat,023-2015-02-13-02-itd.mat,023-2015-02-13-02-ild.mat,023-2015-02-13-02-FrozenITD.mat,023-2015-02-13-02-FrozenILD.mat
23,2015,2,13,3,,,,023-2015-02-13-03-bf.mat,023-2015-02-13-03-itd.mat,023-2015-02-13-03-ild.mat,023-2015-02-13-03-FrozenITD.mat,023-2015-02-13-03-FrozenILD.mat
23,2015,2,13,4,,,,023-2015-02-13-04-bf.mat,023-2015-02-13-04-itd.mat,023-2015-02-13-04-ild.mat,023-2015-02-13-04-FrozenITD.mat,023-2015-02-13-04-FrozenILD.mat
23,2015,2,23,1,,,,023-2015-02-23-01-bf.mat,023-2015-02-23-01-itd.mat,023-2015-02-23-01-ild.mat,023-2015-02-23-01-FrozenITD.mat,023-2015-02-23-01-FrozenILD.mat
23,2015,2,23,2,,,,023-2015-02-23-02-bf.mat,023-2015-02-23-02-itd.mat,023-2015-02-23-02-ild.mat,023-2015-02-23-02-FrozenITD.mat,023-2015-02-23-02-FrozenILD.mat
23,2015,2,23,3,,,,023-2015-02-23-03-bf.mat,023-2015-02-23-03-itd.mat,023-2015-02-23-03-ild.mat,023-2015-02-23-03-FrozenITD.mat,023-2015-02-23-03-FrozenILD.mat
23,2015,3,5,1,,,,023-2015-03-05-01-bf.mat,023-2015-03-05-01-itd.mat,023-2015-03-05-01-ild.mat,023-2015-03-05-01-FrozenITD.mat,023-2015-03-05-01-FrozenILD.mat
23,2015,3,5,2,,,,023-2015-03-05-02-bf.mat,023-2015-03-05-02-itd.mat,023-2015-03-05-02-ild.mat,023-2015-03-05-02-FrozenITD.mat,023-2015-03-05-02-FrozenILD.mat
23,2015,3,5,3,,,,023-2015-03-05-03-bf.mat,023-2015-03-05-03-itd.mat,023-2015-03-05-03-ild.mat,023-2015-03-05-03-FrozenITD.mat,023-2015-03-05-03-FrozenILD.mat
23,2015,3,31,1,,,,023-2015-03-31-01-bf.mat,023-2015-03-31-01-itd.mat,023-2015-03-31-01-ild.mat,023-2015-03-31-01-FrozenITD.mat,023-2015-03-31-01-FrozenILD.mat
23,2015,3,31,2,,,,023-2015-03-31-02-bf.mat,023-2015-03-31-02-itd.mat,023-2015-03-31-02-ild.mat,023-2015-03-31-02-FrozenITD.mat,023-2015-03-31-02-FrozenILD.mat
23,2015,3,31,3,,,,023-2015-03-31-03-bf.mat,023-2015-03-31-03-itd.mat,023-2015-03-31-03-ild.mat,023-2015-03-31-03-FrozenITD.mat,023-2015-03-31-03-FrozenILD.mat
