006,2015,02,11,01,itd
006,2015,02,11,02,itd
006,2015,02,19,01,itd
006,2015,02,19,02,itd
006,2015,02,19,03,itd
006,2015,03,02,01,itd
006,2015,03,02,02,itd
006,2015,03,02,03,itd
021,2014,12,23,01,itd
021,2014,12,23,02,itd
021,2015,01,14,01,itd
0,0,0,0,0,0
021,2015,01,14,02,itd
0,0,0,0,0,0
021,2015,01,14,03,itd
021,2015,02,09,01,itd
021,2015,02,09,02,itd
021,2015,02,09,03,itd
021,2015,02,17,01,itd
021,2015,02,17,02,itd
021,2015,02,17,03,itd
021,2015,02,17,04,itd
021,2015,02,26,01,itd
021,2015,02,26,02,itd
021,2015,02,26,03,itd
023,2015,02,13,01,itd
023,2015,02,13,02,itd
023,2015,02,13,03,itd
023,2015,02,13,04,itd
023,2015,02,23,01,itd
023,2015,02,23,02,itd
023,2015,02,23,03,itd
023,2015,03,05,01,itd
023,2015,03,05,02,itd
023,2015,03,05,03,itd
023,2015,03,31,01,itd
023,2015,03,31,02,itd
023,2015,03,31,03,itd
