006,2015,02,11,01,ild
006,2015,02,11,02,ild
006,2015,02,19,01,ild
006,2015,02,19,02,ild
006,2015,02,19,03,ild
006,2015,03,02,01,ild
006,2015,03,02,02,ild
006,2015,03,02,03,ild
0,0,0,0,0,0
0,0,0,0,0,0
021,2015,01,14,01,ild
0,0,0,0,0,0
021,2015,01,14,02,ild
0,0,0,0,0,0
021,2015,01,14,03,ild
021,2015,02,09,01,ild
021,2015,02,09,02,ild
021,2015,02,09,03,ild
021,2015,02,17,01,ild
021,2015,02,17,02,ild
021,2015,02,17,03,ild
021,2015,02,17,04,ild
021,2015,02,26,01,ild
021,2015,02,26,02,ild
021,2015,02,26,03,ild
023,2015,02,13,01,ild
023,2015,02,13,02,ild
023,2015,02,13,03,ild
023,2015,02,13,04,ild
023,2015,02,23,01,ild
023,2015,02,23,02,ild
023,2015,02,23,03,ild
023,2015,03,05,01,ild
023,2015,03,05,02,ild
023,2015,03,05,03,ild
023,2015,03,31,01,ild
023,2015,03,31,02,ild
023,2015,03,31,03,ild
